"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=%20Anura"
"Access Time","Fri 2017-02-03 06:26:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Anura"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0678"
"Records Found","1413"
"Records Returned","1413"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"256283","occ","","","20604","Rana catesbiana","species","37481","species not entered","Rana","genus","37481","Late Pleistocene","","0.126","0.0117","1962"
"266840","occ","","","25658","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","7156"
"270970","occ","","","17892","Anura indet.","order","37422","","Anura","order","97112","Hemingfordian","","20.43","15.97","2428"
"277278","occ","","","26549","Anura indet.","order","37422","","Anura","order","97112","Hemphillian","","10.3","4.9","7292"
"284118","occ","","","27014","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Maastrichtian","","72.1","66","10788"
"284119","occ","10483","","27014","Hylidae indet.","family","37469","","Hylidae","family","37469","Maastrichtian","","72.1","66","7470"
"284120","occ","29352","","27014","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Maastrichtian","","72.1","66","49061"
"285804","occ","","","16218","Anura indet.","order","37422","","Anura","order","97112","Bridgerian","","50.3","46.2","1441"
"286989","occ","","","18284","Scaphiopus n. sp. wardorum","species","110942","recombined as","Scaphiopus (Scaphiopus) wardorum","species","110632","Barstovian","","15.97","13.6","7565"
"286990","occ","10125","","18284","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Barstovian","","15.97","13.6","3503"
"286991","occ","","","18284","Bufo cf. hibbardi","species","110634","","Bufo hibbardi","species","110634","Barstovian","","15.97","13.6","7565"
"286992","occ","","","18284","Bufo n. sp. valentinensis","species","110635","","Bufo valentinensis","species","110635","Barstovian","","15.97","13.6","7565"
"286993","occ","","","18284","Bufo n. sp. kuhrei","species","111004","","Bufo kuhrei","species","111004","Barstovian","","15.97","13.6","706"
"286994","occ","","","18284","Acris cf. crepitans","species","104844","","Acris crepitans","species","104844","Barstovian","","15.97","13.6","7555"
"286995","occ","","","18284","Pseudacris cf. clarki","species","104845","","Pseudacris clarki","species","104845","Barstovian","","15.97","13.6","7555"
"286996","occ","","","18284","Pseudacris n. sp. nordensis","species","104846","","Pseudacris nordensis","species","104846","Barstovian","","15.97","13.6","7555"
"286997","occ","","","18284","Hyla cf. gratiosa","species","104847","","Hyla gratiosa","species","104847","Barstovian","","15.97","13.6","7555"
"286998","occ","","","18284","Hyla cf. squirella","species","104848","","Hyla squirella","species","104848","Barstovian","","15.97","13.6","7555"
"286999","occ","1332","","18284","Hyla cf. versicolor","species","110939","","Hyla versicolor","species","110939","Barstovian","","15.97","13.6","25726"
"287000","occ","10126","","18284","Rana aff. pipiens","species","53090","","Rana pipiens","species","53090","Barstovian","","15.97","13.6","3503"
"287340","occ","13568","","18442","Scaphiopus sp.","genus","37454","","Scaphiopus","genus","37454","Barstovian","","15.97","13.6","719"
"287341","occ","","","18442","Bufo valentinensis","species","110635","","Bufo valentinensis","species","110635","Barstovian","","15.97","13.6","7565"
"287342","occ","","","18442","Hyla sp.","genus","37471","","Hyla","genus","37471","Barstovian","","15.97","13.6","7565"
"287343","occ","","","18442","Rana sp.","genus","37481","","Rana","genus","37481","Barstovian","","15.97","13.6","7565"
"287355","occ","","","18165","Bufo cf. hibbardi","species","110634","","Bufo hibbardi","species","110634","Barstovian","","15.97","13.6","7565"
"287356","occ","","","18165","Rana sp.","genus","37481","","Rana","genus","37481","Barstovian","","15.97","13.6","7565"
"287677","occ","","","18320","Rana cf. catesbeiana","species","110841","","Rana catesbeiana","species","110841","Late Hemphillian","Blancan","10.3","1.8","6086"
"287678","occ","","","18320","Rana sp.","genus","37481","","Rana","genus","37481","Late Hemphillian","Blancan","10.3","1.8","6086"
"287679","occ","","","18320","Bufo sp.","genus","37465","","Bufo","genus","37465","Late Hemphillian","Blancan","10.3","1.8","6086"
"287794","occ","","","27481","Rana sp.","genus","37481","","Rana","genus","37481","Barstovian","","15.97","13.6","733"
"287823","occ","","","18223","Rana cf. pipiens","species","53090","","Rana pipiens","species","53090","Barstovian","","15.97","13.6","712"
"287856","occ","","","20400","Bufo terrestris","species","110843","","Bufo terrestris","species","110842","Irvingtonian","","1.8","0.3","1960"
"287857","occ","","","20400","cf. Rana sp.","genus","37481","","Rana","genus","37481","Irvingtonian","","1.8","0.3","1960"
"288035","occ","","","27507","Pseudacris sp.","genus","37473","","Pseudacris","genus","37473","Barstovian","","15.97","13.6","7572"
"288036","occ","","","27507","Rana sp.","genus","37481","","Rana","genus","37481","Barstovian","","15.97","13.6","7572"
"288059","occ","","","18397","Hyla sp.","genus","37471","","Hyla","genus","37471","Barstovian","","15.97","13.6","7574"
"288060","occ","","","18397","Pseudacris cf. clarki","species","104845","","Pseudacris clarki","species","104845","Barstovian","","15.97","13.6","7574"
"288069","occ","","","27508","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Priabonian","","38","33.9","7576"
"288087","occ","","","17963","Scaphiopus sp.","genus","37454","","Scaphiopus","genus","37454","Hemingfordian","","20.43","15.97","7577"
"288088","occ","","","17963","Bufo sp.","genus","37465","","Bufo","genus","37465","Hemingfordian","","20.43","15.97","7577"
"288089","occ","","","17963","Rana sp.","genus","37481","","Rana","genus","37481","Hemingfordian","","20.43","15.97","7577"
"288090","occ","","","17963","Hylidae indet.","family","37469","","Hylidae","family","37469","Hemingfordian","","20.43","15.97","7577"
"288102","occ","","","18303","Hyla sp.","genus","37471","","Hyla","genus","37471","Barstovian","","15.97","13.6","1717"
"288103","occ","","","18225","Bufo pliocompactilis","species","110940","","Bufo pliocompactilis","species","110940","Hemphillian","","10.3","4.9","7579"
"288104","occ","","","18225","Bufo cf. hibbardi","species","110634","","Bufo hibbardi","species","110634","Hemphillian","","10.3","4.9","7579"
"288105","occ","20093","","18225","Bufo sp.","genus","37465","","Bufo","genus","37465","Hemphillian","","10.3","4.9","19636"
"288106","occ","","","18225","Bufo sp.","genus","37465","","Bufo","genus","37465","Hemphillian","","10.3","4.9","7579"
"288107","occ","","","18225","Rana sp.","genus","37481","","Rana","genus","37481","Hemphillian","","10.3","4.9","7579"
"288109","occ","","","18225","Hyla sp.","genus","37471","","Hyla","genus","37471","Hemphillian","","10.3","4.9","7579"
"288110","occ","","","18359","Bufo holmani","species","110941","","Bufo holmani","species","110941","Late Hemphillian","","10.3","4.9","7579"
"288111","occ","","","18359","Bufo sp.","genus","37465","","Bufo","genus","37465","Late Hemphillian","","10.3","4.9","7579"
"288113","occ","","","18359","Scaphiopus wardorum","species","110942","recombined as","Scaphiopus (Scaphiopus) wardorum","species","110632","Late Hemphillian","","10.3","4.9","7579"
"288114","occ","","","18359","Scaphiopus sp.","genus","37454","","Scaphiopus","genus","37454","Late Hemphillian","","10.3","4.9","7579"
"288115","occ","","","18359","Rana sp.","genus","37481","","Rana","genus","37481","Late Hemphillian","","10.3","4.9","7579"
"288116","occ","","","18359","Rana cf. catesbeiana","species","110841","","Rana catesbeiana","species","110841","Late Hemphillian","","10.3","4.9","7579"
"288118","occ","","","18359","Hyla sp.","genus","37471","","Hyla","genus","37471","Late Hemphillian","","10.3","4.9","7579"
"288119","occ","","","18126","Bufo n. sp. holmani","species","110941","","Bufo holmani","species","110941","Late Hemphillian","","10.3","4.9","7579"
"288120","occ","","","18126","Bufo sp.","genus","37465","","Bufo","genus","37465","Late Hemphillian","","10.3","4.9","7579"
"288121","occ","","","18126","Rana sp.","genus","37481","","Rana","genus","37481","Late Hemphillian","","10.3","4.9","7579"
"288122","occ","","","18247","Scaphiopus sp.","genus","37454","","Scaphiopus","genus","37454","Late Hemphillian","","10.3","4.9","7579"
"288123","occ","","","18247","Rana sp.","genus","37481","","Rana","genus","37481","Late Hemphillian","","10.3","4.9","7579"
"288124","occ","","","18247","Rana cf. catesbeiana","species","110841","","Rana catesbeiana","species","110841","Late Hemphillian","","10.3","4.9","7579"
"288126","occ","","","18247","Hyla sp.","genus","37471","","Hyla","genus","37471","Late Hemphillian","","10.3","4.9","7579"
"288590","occ","","","14489","Anura indet.","order","37422","","Anura","order","97112","Judithian","","83.5","70.6","2988"
"288670","occ","10140","","18450","Scaphiopus hardeni","species","37454","species not entered","Scaphiopus","genus","37454","Clarendonian","","13.6","10.3","7593"
"288671","occ","","","18450","Acris sp.","genus","37470","","Acris","genus","37470","Clarendonian","","13.6","10.3","3676"
"288672","occ","","","18450","Pseudacris cf. clarki","species","104845","","Pseudacris clarki","species","104845","Clarendonian","","13.6","10.3","3676"
"288673","occ","","","18450","Hyla cf. gratiosa","species","104847","","Hyla gratiosa","species","104847","Clarendonian","","13.6","10.3","3676"
"288674","occ","","","18450","Hyla sp.","genus","37471","","Hyla","genus","37471","Clarendonian","","13.6","10.3","3676"
"288675","occ","10141","","18450","Bufo valentinensis","species","110635","","Bufo valentinensis","species","110635","Clarendonian","","13.6","10.3","7593"
"288676","occ","","","18450","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Clarendonian","","13.6","10.3","3676"
"288677","occ","","","18450","Bufo marinus","species","37465","species not entered","Bufo","genus","37465","Clarendonian","","13.6","10.3","3676"
"288678","occ","","","18450","Bufo n. sp. pliocompactilis","species","110940","","Bufo pliocompactilis","species","110940","Clarendonian","","13.6","10.3","3676"
"288679","occ","","","18450","Rana cf. areolata","species","37481","species not entered","Rana","genus","37481","Clarendonian","","13.6","10.3","3676"
"288680","occ","","","18450","Rana sp.","genus","37481","","Rana","genus","37481","Clarendonian","","13.6","10.3","3676"
"288810","occ","","","18450","Bufo hibbardi","species","110634","","Bufo hibbardi","species","110634","Clarendonian","","13.6","10.3","7593"
"288811","occ","","","18450","Hyla cf. cinerea","species","104849","","Hyla cinerea","species","110849","Clarendonian","","13.6","10.3","7593"
"288812","occ","","","18450","Hyla cf. squirella","species","104848","","Hyla squirella","species","104848","Clarendonian","","13.6","10.3","7593"
"288813","occ","","","18450","Rana cf. pipiens","species","53090","","Rana pipiens","species","53090","Clarendonian","","13.6","10.3","7593"
"289291","occ","","","19954","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289292","occ","","","19954","Bufo repentinus","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289293","occ","","","19954","Bufo rexroadensis","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289294","occ","","","19954","Bufo cf. spongifrons","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289295","occ","","","19954","Rana sp.","genus","37481","","Rana","genus","37481","Blancan","","4.9","1.8","777"
"289297","occ","","","27572","Bufo cognatus","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289298","occ","","","27572","Bufo repentinus","species","37465","species not entered","Bufo","genus","37465","Blancan","","4.9","1.8","777"
"289299","occ","","","27572","Rana sp.","genus","37481","","Rana","genus","37481","Blancan","","4.9","1.8","777"
"289300","occ","","","27572","Rana catesbeiana","species","110841","","Rana catesbeiana","species","110841","Blancan","","4.9","1.8","777"
"289301","occ","","","27572","Rana sylvatica","species","37481","species not entered","Rana","genus","37481","Blancan","","4.9","1.8","777"
"289352","occ","","","18665","Hyla n. sp. miocenica","species","260476","","Hyla miocenica","species","260476","Early Barstovian","","15.97","13.6","713"
"289353","occ","","","18665","Rana pipiens","species","53090","","Rana pipiens","species","53090","Early Barstovian","","15.97","13.6","713"
"289359","occ","","","18664","Rana sp.","genus","37481","","Rana","genus","37481","Miocene","","23.03","5.333","713"
"289360","occ","","","18664","Rana aff. pipiens","species","53090","","Rana pipiens","species","53090","Miocene","","23.03","5.333","713"
"289374","occ","","","18141","Scaphiopus cf. bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Barstovian","","15.97","13.6","705"
"289375","occ","10149","","18141","Scaphiopus wardorum","species","110942","recombined as","Scaphiopus (Scaphiopus) wardorum","species","110632","Barstovian","","15.97","13.6","687"
"289376","occ","","","18141","Bufo valentinensis","species","110635","","Bufo valentinensis","species","110635","Barstovian","","15.97","13.6","705"
"289377","occ","","","18141","Bufo cf. hibbardi","species","110634","","Bufo hibbardi","species","110634","Barstovian","","15.97","13.6","705"
"289378","occ","10150","","18141","Acris sp.","genus","37470","","Acris","genus","37470","Barstovian","","15.97","13.6","687"
"289379","occ","10151","","18141","Pseudacris sp.","genus","37473","","Pseudacris","genus","37473","Barstovian","","15.97","13.6","687"
"289380","occ","10152","","18141","Hyla sp.","genus","37471","","Hyla","genus","37471","Barstovian","","15.97","13.6","687"
"289381","occ","10153","","18141","Hyla sp.","genus","37471","","Hyla","genus","37471","Barstovian","","15.97","13.6","687"
"289382","occ","","","18141","Rana sp.","genus","37481","","Rana","genus","37481","Barstovian","","15.97","13.6","705"
"289606","occ","","","14408","Discoglossidae ? indet.","family","37426","","Discoglossidae","family","37426","Aptian","","125","113","7600"
"289607","occ","25844","","14408","Gobiates sp.","genus","37429","","Gobiates","genus","37429","Aptian","","125","113","18862"
"289650","occ","25845","","27606","Gobiates sp.","genus","37429","","Gobiates","genus","37429","Albian","","113","100.5","18862"
"289654","occ","","","14411","Discoglossidae ? indet.","family","37426","","Discoglossidae","family","37426","Albian","","113","100.5","7600"
"289726","occ","","","14375","Anura indet.","order","37422","","Anura","order","97112","Albian","","113","100.5","7600"
"289740","occ","","","14388","Anura indet.","order","37422","","Anura","order","97112","Albian","","113","100.5","7600"
"289811","occ","","","16542","Anura indet.","order","37422","","Anura","order","97112","Late Uintan","","46.2","40.4","702"
"289899","occ","","","19753","Rana sp.","genus","37481","","Rana","genus","37481","Blancan","","4.9","1.8","1950"
"289917","occ","","","19764","Rana sp.","genus","37481","","Rana","genus","37481","Blancan","","4.9","1.8","2621"
"289939","occ","","","18141","Pseudacris nordensis","species","104846","","Pseudacris nordensis","species","104846","Barstovian","","15.97","13.6","687"
"289944","occ","","","20358","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
"289945","occ","","","20358","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","2939"
"289948","occ","","","20367","Scaphiopus bombifrons","species","99665","recombined as","Spea bombifrons","species","99665","Middle Pleistocene","","0.781","0.126","2939"
