"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=%20Anura"
"Access Time","Fri 2017-02-03 06:26:14 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name"," Anura"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.0678"
"Records Found","1413"
"Records Returned","1413"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"422116","occ","","","41027","Anura indet.","order","37422","","Anura","order","97112","Villanyian","","3.2","2.588","11054"
"428386","occ","","","41810","Rana n. sp. basaltica","species","81769","nomen dubium","Rana","genus","37481","Astaracian","","15.97","11.608","17731"
"428387","occ","","","41810","Bufo linchuensis","species","37465","species not entered","Bufo","genus","37465","Astaracian","","15.97","11.608","11442"
"440064","occ","","","43010","Anura indet.","order","37422","","Anura","order","97112","Ruscinian","","5.333","3.2","11399"
"442271","occ","","","41813","Rana sp.","genus","37481","","Rana","genus","37481","Burdigalian","","20.44","15.97","11443"
"442313","occ","","","43400","Rana sp.","genus","37481","","Rana","genus","37481","Burdigalian","","20.44","15.97","11443"
"442543","occ","","","11582","Gobiates leptocolaptus","species","58445","","Gobiates leptocolaptus","species","57290","Campanian","Maastrichtian","83.6","66","4173"
"442911","occ","","","43645","Bufo sp.","genus","37465","","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","11465"
"442912","occ","","","43645","Rana temporaria","species","288767","","Rana temporaria","species","288767","Middle Pleistocene","","0.781","0.126","11465"
"451682","occ","","","12840","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Bartonian","","41.3","38","11647"
"451683","occ","","","12840","cf. Pelodytes sp.","genus","58730","","Pelodytes","genus","58730","Bartonian","","41.3","38","11647"
"451684","occ","","","12840","Anura indet.","order","37422","","Anura","order","97112","Bartonian","","41.3","38","11647"
"456627","occ","","","13322","Eopelobates n. sp. hinschei","species","37450","species not entered","Eopelobates","genus","37450","Lutetian","","47.8","41.3","11714"
"456628","occ","","","13322","Rana n. sp. carbonicola","species","37481","species not entered","Rana","genus","37481","Lutetian","","47.8","41.3","11714"
"457539","occ","","","45087","cf. Xenopus sp.","genus","37441","","Xenopus","genus","37441","Campanian","Early Maastrichtian","83.6","66","11734"
"457540","occ","","","45087","Leptodactylidae indet.","family","37457","","Leptodactylidae","family","37457","Campanian","Early Maastrichtian","83.6","66","11734"
"458032","occ","","","45111","Anura indet.","order","37422","","Anura","order","97112","Maastrichtian","","72.1","66","11749"
"458162","occ","","","14610","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","11749"
"458196","occ","","","45137","Anura indet.","order","37422","","Anura","order","97112","Maastrichtian","","72.1","66","11749"
"459034","occ","","","15683","Anura indet.","order","37422","","Anura","order","97112","Early Eocene","","55.8","48.6","11717"
"459309","occ","","","45238","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"459332","occ","","","45240","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","5929"
"459494","occ","","","45260","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"459517","occ","","","45261","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"459545","occ","31593","","45262","Tyrrellbatrachus brinkmani","species","326451","","Tyrrellbatrachus brinkmani","species","326451","Late Campanian","","83.5","70.6","56016"
"459572","occ","","","45264","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","16643"
"460647","occ","11841","","45418","Shelania n. sp. laurenti","species","135373","","Shelania laurenti","species","135373","Eocene","","56","33.9","11767"
"461717","occ","","","45560","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"461762","occ","","","45561","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"461824","occ","","","45564","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"461862","occ","","","45565","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"461899","occ","","","45566","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"461933","occ","","","45567","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"462891","occ","","","45670","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"462922","occ","","","45671","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"462961","occ","","","45674","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"462980","occ","","","15082","Anura indet.","order","210843","","Anura","order","97112","Late Paleocene","","58.7","55.8","11717"
"463803","occ","","","45819","Anura indet.","order","37422","","Anura","order","97112","Campanian","","83.6","72.1","11964"
"463869","occ","","","45820","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","11964"
"463903","occ","","","45821","Anura indet.","order","37422","","Anura","order","97112","Campanian","","83.6","72.1","11964"
"463941","occ","","","45822","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"464132","occ","15608","","14585","Scotiophryne pustulosa","species","63611","","Scotiophryne pustulosa","species","63611","Late Maastrichtian","","70.6","66","12168"
"464133","occ","18879","","14585","Palaeobatrachus n. sp. occidentalis","species","92265","","Palaeobatrachus occidentalis","species","92265","Late Maastrichtian","","70.6","66","19691"
"464134","occ","","","14585","Neobatrachia indet.","unranked clade","69091","","Neobatrachia","unranked clade","69091","Late Maastrichtian","","70.6","66","803"
"464335","occ","30154","","13142","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Maastrichtian","","72.1","66","52044"
"464336","occ","","","13142","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Maastrichtian","","72.1","66","4381"
"464358","occ","","","14514","Scotiophryne ? sp.","genus","63610","","Scotiophryne","genus","63610","Lancian","","70.6","66","1129"
"464359","occ","","","14514","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","1129"
"464623","occ","","","45892","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"464661","occ","","","45893","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"464694","occ","","","45894","Anura indet.","order","37422","","Anura","order","97112","Campanian","","83.6","72.1","11964"
"464739","occ","","","45897","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"464779","occ","","","45898","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"464813","occ","","","45899","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","11964"
"472481","occ","","","46955","Latonia seyfriedi","species","64154","","Latonia seyfriedi","species","64154","MN 5","","15.97","13.65","12472"
"472482","occ","","","46955","Pelobates sp.","genus","37453","","Pelobates","genus","37453","MN 5","","15.97","13.65","12472"
"474160","occ","","","12841","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Priabonian","","38","33.9","7272"
"474200","occ","","","12843","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Priabonian","","38","33.9","7272"
"474201","occ","","","12843","Enigmatosaurus bottii","species","348499","species not entered","Enigmatosaurus","genus","348499","Priabonian","","38","33.9","7272"
"474202","occ","","","12843","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Priabonian","","38","33.9","7272"
"474203","occ","","","12843","Anura informal Family indet. A","order","37422","obsolete variant of","Anura","order","97112","Priabonian","","38","33.9","7272"
"474283","occ","","","12847","Anura indet.","order","37422","","Anura","order","97112","Bartonian","","41.3","38","12522"
"474303","occ","","","12849","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Priabonian","","38","33.9","7272"
"474304","occ","","","12849","cf. Pelodytes sp.","genus","58730","","Pelodytes","genus","58730","Priabonian","","38","33.9","7272"
"474305","occ","","","12849","Enigmatosaurus ? bottii","species","348499","species not entered","Enigmatosaurus","genus","348499","Priabonian","","38","33.9","7272"
"474306","occ","","","12849","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Priabonian","","38","33.9","7272"
"474365","occ","","","12852","Enigmatosaurus bottii","species","348499","species not entered","Enigmatosaurus","genus","348499","Priabonian","","38","33.9","7272"
"474366","occ","","","12852","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Priabonian","","38","33.9","7272"
"474392","occ","","","12850","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Late Eocene","","37.2","33.9","7272"
"474393","occ","","","12850","Enigmatosaurus bottii","species","348499","species not entered","Enigmatosaurus","genus","348499","Late Eocene","","37.2","33.9","7272"
"474394","occ","","","12850","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Late Eocene","","37.2","33.9","7272"
"474395","occ","","","12850","Anura informal Family indet. A","order","37422","obsolete variant of","Anura","order","97112","Late Eocene","","37.2","33.9","7272"
"474552","occ","","","47069","Anura indet.","order","37422","","Anura","order","97112","Early Miocene","","23.03","15.97","12499"
"474600","occ","","","47074","Anura indet.","order","37422","","Anura","order","97112","Early Miocene","","23.03","15.97","12499"
"474667","occ","","","47095","Anura indet.","order","37422","","Anura","order","97112","Early Miocene","","23.03","15.97","12499"
"475300","occ","","","40031","Anura indet.","order","37422","","Anura","order","97112","Burdigalian","","20.44","15.97","10124"
"479362","occ","","","47782","Palaeobatrachidae indet.","family","37445","","Palaeobatrachidae","family","37445","Early Campanian","","83.5","70.6","12788"
"479398","occ","","","47784","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479426","occ","","","47790","Rana sp.","genus","37481","","Rana","genus","37481","Pliocene","","5.333","2.588","11723"
"479448","occ","31591","","47793","n. gen. Tyrrellbatrachus n. sp. brinkmani","species","326451","","Tyrrellbatrachus brinkmani","species","326451","Late Campanian","","83.5","70.6","56016"
"479474","occ","","","47794","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","5929"
"479500","occ","","","47795","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","5929"
"479579","occ","","","47807","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479614","occ","","","47809","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","","83.5","70.6","5929"
"479644","occ","","","47811","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479669","occ","","","47812","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479702","occ","","","47814","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479731","occ","31592","","47816","Tyrrellbatrachus brinkmani","species","326451","","Tyrrellbatrachus brinkmani","species","326451","Late Campanian","","83.5","70.6","56016"
"479766","occ","","","22698","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"479792","occ","","","22695","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"480286","occ","","","22697","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"480325","occ","","","22696","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","5929"
"480363","occ","","","14458","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Judithian","","83.5","70.6","17857"
"480369","occ","","","14458","Anura indet.","order","37422","","Anura","order","97112","Judithian","","83.5","70.6","13103"
"481746","occ","","","48126","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Middle Miocene","","15.97","11.608","12897"
"481747","occ","","","48126","Ranidae indet.","family","37478","","Ranidae","family","37478","Middle Miocene","","15.97","11.608","12897"
"481988","occ","","","48162","Anura indet.","order","37422","","Anura","order","97112","Kimmeridgian","Tithonian","157.3","145","12893"
"483350","occ","","","48330","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Late Pliocene","","3.6","2.588","12921"
"483351","occ","","","48330","Anura indet.","order","37422","","Anura","order","97112","Late Pliocene","","3.6","2.588","12921"
"483354","occ","","","48331","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Late Pliocene","","3.6","2.588","12921"
"483355","occ","","","48331","Anura indet.","order","37422","","Anura","order","97112","Late Pliocene","","3.6","2.588","12921"
"483538","occ","","","14508","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","13103"
"483654","occ","","","14505","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","13103"
"483686","occ","29598","","48389","Beelzebufo ampinga","species","118075","","Beelzebufo ampinga","species","118075","Maastrichtian","","72.1","66","49974"
"484187","occ","","","48445","cf. Eodiscoglossus sp.","genus","37428","","Eodiscoglossus","genus","37428","Maastrichtian","","72.1","66","12941"
"484188","occ","","","48445","cf. Paradiscoglossus sp.","genus","92263","","Paradiscoglossus","genus","92263","Maastrichtian","","72.1","66","12941"
"486501","occ","26146","","48722","n. gen. Hungarobatrachus n. sp. szukacsi","species","207009","","Hungarobatrachus szukacsi","species","207009","Santonian","","86.3","83.6","38712"
"487237","occ","","","48867","Ranidae indet.","family","37478","","Ranidae","family","37478","Late Coniacian","Santonian","89.3","83.6","13027"
"487238","occ","22328","","48867","n. gen. Pachybatrachus n. sp. taqueti","species","135379","recombined as","Pachycentrata taqueti","species","135379","Late Coniacian","Santonian","89.3","83.6","31023"
"487239","occ","","","48867","Pipidae informal sp. 2","species","37435","species not entered","Pipidae","family","37435","Late Coniacian","Santonian","89.3","83.6","13027"
"487271","occ","","","48870","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","13039"
"487491","occ","","","36219","Anura indet.","order","37422","","Anura","order","97112","Middle Pleistocene","","0.781","0.126","13066"
"488092","occ","","","14549","Scotiophryne sp.","genus","63610","","Scotiophryne","genus","63610","Lancian","","70.6","66","13103"
"488187","occ","18877","","14566","Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Lancian","","70.6","66","19691"
"488216","occ","","","14568","Scotiophryne sp.","genus","63610","","Scotiophryne","genus","63610","Lancian","","70.6","66","13103"
"488236","occ","","","14570","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","13103"
"488473","occ","","","49084","Rana cf. esculenta","species","37481","species not entered","Rana","genus","37481","Pleistocene","","2.588","0.0117","13054"
"488487","occ","","","49085","Rana cf. esculenta","species","37481","species not entered","Rana","genus","37481","Pleistocene","","2.588","0.0117","13054"
"488591","occ","","","14639","Anura indet.","order","37422","","Anura","order","97112","Lancian","","70.6","66","13103"
"488654","occ","","","38952","Anura indet.","order","37422","","Anura","order","97112","Late Cenomanian","Early Turonian","99.6","89.3","13117"
"489266","occ","27464","","49228","Bufo sp.","genus","37465","","Bufo","genus","37465","Late Campanian","Maastrichtian","83.5","66","13143"
"491064","occ","","","49557","Pipidae indet.","family","37435","","Pipidae","family","37435","Late Campanian","Early Maastrichtian","83.5","66","13269"
"491065","occ","","","49557","Leptodactylidae indet.","family","37457","","Leptodactylidae","family","37457","Late Campanian","Early Maastrichtian","83.5","66","13269"
"491066","occ","","","49557","Anura indet.","order","37422","","Anura","order","97112","Late Campanian","Early Maastrichtian","83.5","66","13269"
"492238","occ","","","31764","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Priabonian","","38","33.9","12515"
"492239","occ","","","31764","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Priabonian","","38","33.9","12515"
"492946","occ","32088","","49783","Calyptocephalella n. sp. canqueli","species","135438","","Calyptocephalella canqueli","species","135438","Deseadan","","29","21","58091"
"492947","occ","32078","","49783","Eupsophus sp.","genus","65655","","Eupsophus","genus","65655","Deseadan","","29","21","13081"
"492948","occ","32079","","49783","n. gen. Neoprocoela n. sp. edentatus","species","135439","","Neoprocoela edentatus","species","135439","Deseadan","","29","21","13081"
"493120","occ","","","49812","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","13377"
"493121","occ","","","49812","Bufo cf. viridis","species","94503","","Bufo viridis","species","94503","Middle Pleistocene","","0.781","0.126","13377"
"493137","occ","","","49812","Anura indet.","order","37422","","Anura","order","97112","Middle Pleistocene","","0.781","0.126","13377"
"493243","occ","","","49816","Rana arvalis","species","37481","species not entered","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","13380"
"493244","occ","","","49816","Rana temporaria","species","288767","","Rana temporaria","species","288767","Middle Pleistocene","","0.781","0.126","13380"
"493245","occ","","","49816","Rana esculenta","species","37481","species not entered","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","13380"
"493246","occ","","","49816","Bufo bufo","species","37465","species not entered","Bufo","genus","37465","Middle Pleistocene","","0.781","0.126","13380"
"493517","occ","","","49848","n. gen. Eophractus n. sp. casamayorensis","species","65653","","Eophractus casamayorensis","species","65653","Casamayoran","","55.8","48","13362"
"495540","occ","","","34981","Rana cf. arvalis","species","37481","species not entered","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","13427"
"495541","occ","","","34981","Rana sp.","genus","37481","","Rana","genus","37481","Middle Pleistocene","","0.781","0.126","13427"
"497833","occ","","","28006","Anura indet.","order","37422","","Anura","order","97112","Late Barremian","","130","125.45","13500"
"498298","occ","13040","","50359","Archaeobatrachia indet.","suborder","113811","invalid subgroup of","Anura","order","97112","Valanginian","","139.8","132.9","13526"
"498857","occ","","","50469","Anura indet.","order","37422","","Anura","order","97112","Late Barremian","Early Aptian","130","122.46","13533"
"499991","occ","","","49360","Discoglossus cf. giganteus","species","37427","species not entered","Discoglossus","genus","37427","MN 16","","3.2","2.588","13183"
"499992","occ","","","49360","Pelobates sp.","genus","37453","","Pelobates","genus","37453","MN 16","","3.2","2.588","13183"
"499993","occ","","","49360","Bufo cf. bufo","species","37465","species not entered","Bufo","genus","37465","MN 16","","3.2","2.588","13183"
"499994","occ","","","49360","Bufo cf. viridis","species","94503","","Bufo viridis","species","94503","MN 16","","3.2","2.588","13183"
"499995","occ","","","49360","Hyla cf. arborea","species","37471","species not entered","Hyla","genus","37471","MN 16","","3.2","2.588","13183"
"499996","occ","","","49360","Rana cf. esculenta","species","37481","species not entered","Rana","genus","37481","MN 16","","3.2","2.588","13183"
"499997","occ","","","49360","Rana cf. latastei","species","37481","species not entered","Rana","genus","37481","MN 16","","3.2","2.588","13183"
"504035","occ","","","51187","Ranidae ? indet.","family","37478","","Ranidae","family","37478","Late Pleistocene","","0.126","0.0117","13638"
"507136","occ","","","51475","Anura indet.","order","37422","","Anura","order","97112","Pliocene","Pleistocene","5.333","0.0117","13691"
"507156","occ","","","51478","Anura indet.","order","37422","","Anura","order","97112","Pliocene","Pleistocene","5.333","0.0117","13691"
"507213","occ","","","51483","Discoglossus sardus","species","37427","species not entered","Discoglossus","genus","37427","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507214","occ","","","51483","Anura indet.","order","37422","","Anura","order","97112","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507516","occ","","","51504","Discoglossus sardus","species","37427","species not entered","Discoglossus","genus","37427","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507517","occ","","","51504","Bufo viridis","species","94503","","Bufo viridis","species","94503","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507518","occ","","","51504","Anura indet.","order","37422","","Anura","order","97112","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507527","occ","","","51505","Discoglossus sardus","species","37427","species not entered","Discoglossus","genus","37427","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507528","occ","","","51505","Anura indet.","order","37422","","Anura","order","97112","Middle Pleistocene","Late Pleistocene","0.781","0.0117","13691"
"507914","occ","","","51552","Discoglossus sardus","species","37427","species not entered","Discoglossus","genus","37427","Late Pleistocene","","0.126","0.0117","13691"
"507915","occ","","","51552","Bufo viridis","species","94503","","Bufo viridis","species","94503","Late Pleistocene","","0.126","0.0117","13691"
"507916","occ","","","51552","Hyla ex gr. arborea","species","37471","species not entered","Hyla","genus","37471","Late Pleistocene","","0.126","0.0117","13691"
"507917","occ","","","51552","Anura indet.","order","37422","","Anura","order","97112","Late Pleistocene","","0.126","0.0117","13691"
"507954","occ","","","51553","Bufo viridis","species","94503","","Bufo viridis","species","94503","Late Pleistocene","","0.126","0.0117","13691"
"507955","occ","","","51553","Anura indet.","order","37422","","Anura","order","97112","Late Pleistocene","","0.126","0.0117","13691"
"508665","occ","","","51684","Anura indet.","order","37422","","Anura","order","97112","Pliocene","Pleistocene","5.333","0.0117","13759"
"510985","occ","","","51778","Hyla sp.","genus","37471","","Hyla","genus","37471","Early Pleistocene","","2.588","0.781","13786"
"510986","occ","","","51778","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Early Pleistocene","","2.588","0.781","13786"
"516607","occ","","","45726","aff. Enneabatrachus sp.","genus","53191","","Enneabatrachus","genus","53191","Berriasian","","145","139.8","37819"
"516627","occ","","","50310","Anura indet.","order","210843","","Anura","order","97112","Berriasian","","145","139.8","14077"
"519733","occ","","","38916","Anura indet.","order","37422","","Anura","order","97112","Aptian","","125","113","14241"
"519919","occ","","","16919","Rhinophrynus n. sp. canadensis","species","108649","","Rhinophrynus canadensis","species","108649","Chadronian","","37.2","33.9","25359"
"519920","occ","","","16919","Scaphiopus skinneri","species","37454","species not entered","Scaphiopus","genus","37454","Chadronian","","37.2","33.9","14270"
"519921","occ","","","16919","Hyla swanstoni","species","37471","species not entered","Hyla","genus","37471","Chadronian","","37.2","33.9","14270"
"520368","occ","","","17802","Scaphiopus neuter","species","84028","recombined as","Spea neuter","species","84028","Harrisonian","","24.8","20.43","720"
"520381","occ","","","15000","Anura indet.","order","37422","","Anura","order","97112","Tiffanian","","61.7","56.8","1459"
"520615","occ","","","18554","Ranidae indet.","family","37478","","Ranidae","family","37478","Late Clarendonian","","13.6","10.3","3581"
"520896","occ","","","14392","Anura indet.","order","37422","","Anura","order","97112","Late Aptian","Early Albian","122.46","109","1219"
"521213","occ","","","53336","Anura ? indet.","order","37422","","Anura","order","97112","Albian","","113","100.5","14375"
"521237","occ","","","14494","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Middle Campanian","Late Campanian","83.5","70.6","3313"
"521238","occ","","","14494","Anura indet.","order","37422","","Anura","order","97112","Middle Campanian","Late Campanian","83.5","70.6","3313"
"521276","occ","","","17111","Anura indet.","order","37422","","Anura","order","97112","Orellan","","33.9","33.3","3313"
"521280","occ","","","17526","Anura indet.","order","37422","","Anura","order","97112","Monroecreekian","","26.3","24.8","3313"
"521289","occ","","","16244","Eorhinophrynus n. sp. septentrionalis","species","67627","","Eorhinophrynus septentrionalis","species","67627","Bridgerian","","50.3","46.2","59968"
"521290","occ","","","16244","Megophryinae indet.","family","67630","obsolete variant of","Megophryidae","family","67630","Bridgerian","","50.3","46.2","59968"
"521696","occ","","","15793","Anura indet.","order","37422","","Anura","order","97112","Wasatchian","","55.8","50.3","3714"
"528141","occ","27494","","53921","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Late Hauterivian","Early Barremian","136.4","125.45","42977"
"533435","occ","","","20173","Hyla ? sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","2893"
"533436","occ","","","20173","Bufo sp.","genus","37465","","Bufo","genus","37465","Irvingtonian","","1.8","0.3","2893"
"533440","occ","","","20190","Hyla sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","2893"
"533445","occ","","","20178","Hyla sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","2893"
"533453","occ","","","20182","Bufo sp.","genus","37465","","Bufo","genus","37465","Irvingtonian","","1.8","0.3","2893"
"533459","occ","","","20177","Hyla sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","2893"
"533475","occ","","","20446","cf. Hyla sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","1298"
"533476","occ","","","20446","Hylidae indet.","family","37469","","Hylidae","family","37469","Irvingtonian","","1.8","0.3","1298"
"533477","occ","","","20446","Pelobatidae indet.","family","37449","","Pelobatidae","family","37449","Irvingtonian","","1.8","0.3","1298"
"533486","occ","","","20449","Hyla sp.","genus","37471","","Hyla","genus","37471","Irvingtonian","","1.8","0.3","1298"
"533508","occ","","","20293","Rana pipiens","species","53090","","Rana pipiens","species","53090","Irvingtonian","","1.8","0.3","1462"
"533509","occ","","","20293","Rana catesbiana","species","37481","species not entered","Rana","genus","37481","Irvingtonian","","1.8","0.3","1462"
"533510","occ","","","20293","Bufo hemiophrys","species","37465","species not entered","Bufo","genus","37465","Irvingtonian","","1.8","0.3","1462"
"533550","occ","","","20352","Rana pipiens","species","53090","","Rana pipiens","species","53090","Irvingtonian","","1.8","0.3","1462"
"533551","occ","","","20352","Bufo hemiophrys","species","37465","species not entered","Bufo","genus","37465","Irvingtonian","","1.8","0.3","1462"
"533558","occ","","","20427","Scaphiopus (Spea) bombifrons","species","99692","recombined as","Spea bombifrons","species","99665","Irvingtonian","","1.8","0.3","45747"
"533571","occ","","","20354","Bufo americanus","species","133747","","Bufo americanus","species","133747","Irvingtonian","","1.8","0.3","1727"
"533572","occ","","","20354","Rana cf. pipiens","species","53090","","Rana pipiens","species","53090","Irvingtonian","","1.8","0.3","1727"
"533685","occ","","","20440","Rana sp.","genus","37481","","Rana","genus","37481","Rancholabrean","","0.3","0.012","2050"
"533725","occ","","","20389","Rana sp.","genus","37481","","Rana","genus","37481","Irvingtonian","","1.8","0.3","2435"
"533726","occ","","","20389","Bufo sp.","genus","37465","","Bufo","genus","37465","Irvingtonian","","1.8","0.3","2435"
"534658","occ","","","28196","Anura indet.","order","37422","","Anura","order","97112","Late Barremian","Early Aptian","130","122.46","14802"
"534979","occ","","","48161","Anura ? indet.","order","37422","","Anura","order","97112","Kimmeridgian","Tithonian","157.3","145","14856"
"537761","occ","25911","","55737","n. gen. Vulcanobatrachus n. sp. mandelai","species","68502","","Vulcanobatrachus mandelai","species","68502","Senonian","","89.3","66","15044"
"539270","occ","","","49636","Anura indet.","order","37422","","Anura","order","97112","Kimmeridgian","Tithonian","157.3","145","15142"
"539307","occ","","","56167","Anura indet.","order","37422","","Anura","order","97112","Kimmeridgian","Tithonian","157.3","145","15143"
"540502","occ","","","43397","Bufo n. sp. linquensis","species","68705","","Bufo linquensis","species","68705","Astaracian","","15.97","11.608","15140"
"541098","occ","","","56563","Bufonidae indet.","family","37464","","Bufonidae","family","37464","Late Miocene","","11.608","5.333","15232"
"541099","occ","","","56563","Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Late Miocene","","11.608","5.333","15232"
"541389","occ","","","56648","Anura ? indet.","order","37422","","Anura","order","97112","Late Campanian","","83.5","70.6","15254"
"545118","occ","30152","","14585","cf. Eopelobates sp.","genus","37450","","Eopelobates","genus","37450","Late Maastrichtian","","70.6","66","52044"
"545119","occ","","","14585","aff. Hylidae indet.","family","37469","","Hylidae","family","37469","Late Maastrichtian","","70.6","66","803"
"545120","occ","","","14585","aff. Leptodactylidae indet.","family","37457","","Leptodactylidae","family","37457","Late Maastrichtian","","70.6","66","803"
"545296","occ","18873","","14519","Palaeobatrachus occidentalis","species","92265","","Palaeobatrachus occidentalis","species","92265","Lancian","","70.6","66","19691"
"545298","occ","18875","","14519","cf. Discoglossidae indet.","family","37426","","Discoglossidae","family","37426","Lancian","","70.6","66","19691"
