"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.txt?datainfo&rowcount&base_name=Serpentes"
"Access Time","Fri 2017-02-03 06:22:43 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Serpentes"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","0.128"
"Records Found","2575"
"Records Returned","2575"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"220160","occ","","","22711","Serpentes indet.","unranked clade","38069","","Serpentes","unranked clade","38069","Kimmeridgian","Tithonian","157.3","145","15179"
"224732","occ","","","21804","Bitis arietans","species","38157","species not entered","Bitis","genus","38157","Gelasian","","2.588","1.806","4451"
"224753","occ","","","21805","Bitis arietans","species","38157","species not entered","Bitis","genus","38157","Gelasian","","2.588","1.806","4451"
"224782","occ","","","21806","Bitis arietans","species","38157","species not entered","Bitis","genus","38157","Piacenzian","","3.6","2.588","4451"
"224834","occ","","","21810","Bitis arietans","species","38157","species not entered","Bitis","genus","38157","Piacenzian","","3.6","2.588","4451"
"224837","occ","","","21810","Naja robusta","species","38154","species not entered","Naja","genus","38154","Piacenzian","","3.6","2.588","4451"
"225386","occ","","","21831","Python sebae","species","64924","","Python sebae","species","64924","Piacenzian","","3.6","2.588","4451"
"226932","occ","","","22069","Pythonidae indet.","family","99994","","Pythonidae","family","67624","Serravallian","","13.82","11.62","5302"
"226984","occ","","","22071","Pythonidae indet.","family","99994","","Pythonidae","family","67624","Serravallian","","13.82","11.62","4656"
"227186","occ","","","22078","Pythonidae indet.","family","99994","","Pythonidae","family","67624","Langhian","","15.97","13.82","5310"
"227810","occ","","","22258","Python sp.","genus","38114","","Python","genus","38114","Pliocene","","5.333","2.588","5430"
