Species	Status	min_age	max_age
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana_catesbeiana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana_catesbeiana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo_woodhousei	extant	0.126	0.781
Pseudacris_triseriata	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana_catesbeiana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo_woodhousei	extant	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana_catesbeiana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo_woodhousei	extant	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Spea_bombifrons	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Anura	extinct	0.126	0.781
Anura	extinct	182.7	199.3
Eorhinophrynus	extinct	56.8	61.7
Discoglossidae	extinct	56.8	61.7
Eorhinophrynus	extinct	56.8	61.7
Discoglossidae	extinct	66	70.6
Anura	extinct	0.3	1.8
Bufo	extinct	0.3	1.8
Leptodactylidae	extinct	48.6	58.7
Litoria_ewingi	extinct	0.0117	2.588
Limnodynastes_tasmaniensis	extinct	0.0117	2.588
Limnodynastes_dumerili	extinct	0.0117	2.588
Ranidella_signifera	extinct	0.0117	2.588
Geocrinia_laevis	extinct	0.0117	2.588
Discoglossidae	extinct	70.6	83.5
Sunnybatrachus_purbeckensis	extinct	140.2	145
Anura	extinct	164.7	167.7
Discoglossinae	extinct	41.3	47.8
Anura	extinct	3.2	5.333
Anura	extinct	3.2	5.333
Anura	extinct	5.333	8.7
Anura	extinct	5.333	8.7
Discoglossus	extinct	3.2	4.2
Eopelobates	extinct	3.2	4.2
Pelobates	extinct	3.2	4.2
Pliobatrachus	extinct	3.2	4.2
Bufo	extinct	3.2	4.2
Bufo	extinct	3.2	4.2
Rana	extinct	3.2	4.2
Pelobates	extinct	2.588	3.2
Pliobatrachus	extinct	2.588	3.2
Bufo	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Rana	extinct	1.806	2.588
Bufonidae	extinct	1.806	2.588
Bufo	extinct	0.781	2.588
Rana	extinct	0.781	2.588
Anura	extinct	0.0117	2.588
Bufo	extinct	0.0117	2.588
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Pelobates	extinct	3.2	5.333
Bufo_viridis	extant	3.2	5.333
Rana	extinct	3.2	5.333
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Eopelobates_anthracinus	extinct	23.03	28.4
Bufo	extinct	4.9	10.3
Alytes	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Rana	extinct	0.781	2.588
Anura	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Pelobates	extinct	0.0117	5.333
Bufo	extinct	0.0117	5.333
Bufo	extinct	0.0117	5.333
Rana_temporaria	extinct	0.0117	5.333
Rana	extinct	0.0117	5.333
Anura	extinct	70.6	83.5
Palaeobatrachidae	extinct	70.6	83.5
Anura	extinct	2.588	5.333
Bufo	extinct	2.588	5.333
Anura	extinct	2.588	3.2
Bufo	extinct	0.0117	5.333
Rana	extinct	0.0117	5.333
Anura	extinct	0.0117	5.333
Xenopus	extinct	5.333	11.608
Rana	extinct	5.333	11.608
Discoglossidae	extinct	5.333	11.608
Anura	extinct	3.6	5.333
Ranidae	extinct	2.588	3.2
Bufo_viridis	extant	2.588	3.2
Bufo	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Pliobatrachus	extinct	2.588	3.2
Bufo	extinct	2.588	3.2
Bufonidae	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Rana	extinct	0.0117	5.333
Bufo	extinct	0.0117	5.333
Anura	extinct	0.781	2.588
Anura	extinct	0.781	2.588
Anura	extinct	0.781	2.588
Pelobates	extinct	0.781	2.588
Pliobatrachus	extinct	0.781	2.588
Bombina	extinct	0.781	2.588
Bufo_viridis	extant	0.781	2.588
Rana	extinct	0.781	2.588
Rana_temporaria	extinct	0.781	2.588
Rana	extinct	0.781	2.588
Bufo	extinct	0.0117	0.126
Pelobates	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Bombina	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Bombina	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Pelobates	extinct	0.126	0.781
Bufo	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Bufo	extinct	0.0117	5.333
Bufo	extinct	0.126	0.781
Rana	extinct	0.126	0.781
Bufo	extinct	0.0117	2.588
Anura	extinct	0.126	0.781
Scotiophryne_pustulosa	extinct	70.6	83.5
Eopelobates	extinct	70.6	83.5
Pelobates	extinct	0.126	0.781
Bufo	extinct	0.3	1.8
Anura	extinct	0.3	1.8
Scaphiopus	extinct	0.3	1.8
Bufo_woodhousei	extant	0.3	1.8
Rana	extinct	0.3	1.8
Gobiates_leptocolaptus	extinct	70.6	83.5
Bufo_praevius	extinct	15.97	20.43
Bufo_americanus	extinct	0.0117	2.588
Hyla	extinct	0.0117	2.588
Rana_pipiens	extinct	0.0117	2.588
Rana	extinct	0.0117	2.588
Thaumastosaurus	extinct	33.9	37.2
Anura	extinct	93.9	100.5
Anura	extinct	113	125
Anura	extinct	100.5	125
Eodiscoglossus_oxoniensis	extinct	164.7	167.7
Discoglossidae	extinct	33.9	37.2
Palaeobatrachidae	extinct	33.9	37.2
Eopelobates	extinct	33.9	37.2
Albionbatrachus_wightensis	extinct	33.9	37.2
Anura	extinct	145	157.3
Anura	extinct	170.3	182.7
Anura	extinct	170.3	182.7
Bufo	extinct	3.2	5.333
Bufo_viridis	extant	2.588	5.333
Rana	extinct	2.588	5.333
Rana	extinct	5.333	8.7
Latonia_seyfriedi	extinct	8.7	11.608
Rana	extinct	8.7	11.608
Latonia_seyfriedi	extinct	8.7	11.608
Latonia_seyfriedi	extinct	8.7	11.608
Bufo	extinct	2.588	5.333
Anura	extinct	2.588	3.2
Pliobatrachus	extinct	2.588	3.2
Bufo	extinct	2.588	3.2
Rana_temporaria	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Rana	extinct	2.588	3.2
Anura	extinct	2.588	3.2
Anura	extinct	2.588	3.2
Rana	extinct	11.608	15.97
Bufo	extinct	11.608	15.97
Anura	extinct	3.2	5.333
Rana	extinct	15.97	20.44
Rana	extinct	15.97	20.44
Gobiates_leptocolaptus	extinct	66	83.6
Bufo	extinct	0.126	0.781
Rana_temporaria	extinct	0.126	0.781
Pelobatidae	extinct	38	41.3
Pelodytes	extinct	38	41.3
Anura	extinct	38	41.3
Eopelobates	extinct	41.3	47.8
Rana	extinct	41.3	47.8
Xenopus	extinct	66	83.6
Leptodactylidae	extinct	66	83.6
Anura	extinct	66	72.1
Anura	extinct	66	70.6
Anura	extinct	66	72.1
Anura	extinct	48.6	55.8
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Tyrrellbatrachus_brinkmani	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Shelania_laurenti	extinct	33.9	56
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
Anura	extinct	70.6	83.5
